Model,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Weighted F1-Score,Normal FPR,Macro FPR
Random Forest,0.7576738821859474,0.8030856592538138,0.5262598692243745,0.5502274667575816,0.7197001132605534,0.027494593759654,0.08283312372343714
XGBoost,0.7851756564939674,0.8164648026402738,0.622511239422028,0.6506108437640395,0.7591854159386908,0.028833281845330037,0.07210058188866907
DNN,0.7917405961674947,0.6648616295945986,0.6670692345001565,0.5818809607954919,0.7666640956049634,0.04664813098548038,0.06659372032202762
